screen,title,area,relative_url,local_url
"1","Academy Homepage","Public","pages/001.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/001.html"
"2","Course Catalog","Public","pages/002.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/002.html"
"3","Learning Paths","Public","pages/003.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/003.html"
"4","FDE Engineering Program","Program","pages/004.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/004.html"
"5","Applied ML Engineer Program","Program","pages/005.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/005.html"
"6","Full Stack Program","Program","pages/006.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/006.html"
"7","Video Lesson Experience","Learner","pages/007.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/007.html"
"8","Practice / Quiz Experience","Learner","pages/008.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/008.html"
"9","Entrepreneurship Landing","Venture","pages/009.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/009.html"
"10","Idea Submission & Intake","Venture","pages/010.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/010.html"
"11","FDE Leadership Program","Program","pages/011.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/011.html"
"12","Space Tech Program","Program","pages/012.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/012.html"
"13","Data Analytics Program","Program","pages/013.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/013.html"
"14","Cybersecurity Program","Program","pages/014.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/014.html"
"15","Free Course Access State","Commercial","pages/015.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/015.html"
"16","Freemium Preview State","Commercial","pages/016.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/016.html"
"17","Paid Course Pricing State","Commercial","pages/017.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/017.html"
"18","Learner Dashboard","Learner","pages/018.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/018.html"
"19","Course Progress Dashboard","Learner","pages/019.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/019.html"
"20","Lesson Resources / Comments / Notes","Learner","pages/020.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/020.html"
"21","Exam Start / Instructions","Exam","pages/021.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/021.html"
"22","Exam Question Taking","Exam","pages/022.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/022.html"
"23","Exam Result","Exam","pages/023.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/023.html"
"24","Certificate + Verification","Certificate","pages/024.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/024.html"
"25","Venture Stage Workflow","Venture","pages/025.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/025.html"
"26","Venture Artifacts & Launch Readiness","Venture","pages/026.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/026.html"
"27","Mentor Review & Feedback","Venture","pages/027.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/027.html"
"28","Venture Milestones / Traction","Venture","pages/028.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/028.html"
"29","Venture Cohort Admin Dashboard","Mentor/Admin","pages/029.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/029.html"
"30","Platform Admin Dashboard","Admin","pages/030.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/030.html"
"31","CMS Course Management List","CMS","pages/031.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/031.html"
"32","Create/Edit Course","CMS","pages/032.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/032.html"
"33","Course Pricing Category Admin","CMS","pages/033.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/033.html"
"34","Content Type Admin","CMS","pages/034.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/034.html"
"35","Module & Lesson Builder","CMS","pages/035.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/035.html"
"36","Exam & Question Bank Management","CMS","pages/036.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/036.html"
"37","Blog CMS Editor","CMS","pages/037.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/037.html"
"38","Webinar CMS Management","CMS","pages/038.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/038.html"
"39","Faculty & Media Library","CMS","pages/039.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/039.html"
"40","Organization Dashboard","Organization","pages/040.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/040.html"
"41","Organization Learner Onboarding","Organization","pages/041.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/041.html"
"42","Organization Assignments & Progress","Organization","pages/042.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/042.html"
"43","Brochure Lead Gate","Lead","pages/043.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/043.html"
"44","Webinar Registration","Lead","pages/044.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/044.html"
"45","CRM Leads Dashboard","Operations","pages/045.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/045.html"
"46","CRM Lead Detail & Follow-up","Operations","pages/046.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/046.html"
"47","Campaigns Dashboard","Operations","pages/047.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/047.html"
"48","WhatsApp Operation Screen","Operations","pages/048.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/048.html"
"49","Email Campaign Screen","Operations","pages/049.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/049.html"
"50","Private Discount Offer","Offer","pages/050.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/050.html"
"51","Razorpay Payment Handoff","Payment","pages/051.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/051.html"
"52","Payment Success + Enrollment","Payment","pages/052.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/052.html"
"53","Text Lesson Reader","Learner","pages/053.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/053.html"
"54","Interactive Browser Code Lab","Learner","pages/054.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/054.html"
"55","Practice Checkpoint","Learner","pages/055.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/055.html"
"56","Code Snippet Library","Learner","pages/056.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/056.html"
"57","Downloadable Project Library","Learner","pages/057.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/057.html"
"58","Project Package Detail","Learner","pages/058.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/058.html"
"59","Insights and Blog Index","Public","pages/059.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/059.html"
"60","Rich Blog Article","Public","pages/060.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/060.html"
"61","Lesson Experience Selector","CMS","pages/061.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/061.html"
"62","Text Lesson Authoring","CMS","pages/062.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/062.html"
"63","Code Lab Authoring","CMS","pages/063.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/063.html"
"64","Project Package Authoring","CMS","pages/064.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/064.html"
"65","Code Lab Hint Open","Learner Continuation","pages/065.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/065.html"
"66","Practice Checks Failed","Learner Continuation","pages/066.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/066.html"
"67","Practice Completion Success","Learner Continuation","pages/067.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/067.html"
"68","Mobile Code Preview","Learner Continuation","pages/068.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/068.html"
"69","Lesson Notes Drawer","Learner Continuation","pages/069.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/069.html"
"70","Lesson Discussion Drawer","Learner Continuation","pages/070.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/070.html"
"71","Resource Preview Drawer","Learner Continuation","pages/071.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/071.html"
"72","Practice Correction State","Learner Continuation","pages/072.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/072.html"
"73","Idea Intake Validation","Venture Continuation","pages/073.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/073.html"
"74","Idea Submission Receipt","Venture Continuation","pages/074.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/074.html"
"75","Active Venture Stage","Venture Continuation","pages/075.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/075.html"
"76","Artifact Library and Upload","Venture Continuation","pages/076.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/076.html"
