screen,name,area,route,role,status,primary_links,screenshot
"1","Academy Homepage","Public","/","public","implemented","Courses / Learning Paths / Programs / Webinars / Organizations","generated/01-academy-homepage.png"
"2","Course Catalog","Public","/public-preview/2","public","implemented","Program detail / filters","generated/02-course-catalog.png"
"3","Learning Paths","Public","/public-preview/3","public","implemented","Path detail","generated/03-learning-paths.png"
"4","FDE Engineering Program","Program","/public-preview/4","public","implemented","Brochure / enrollment","generated/04-fde-engineering-program.png"
"5","Applied ML Engineer Program","Program","/public-preview/5","public","implemented","Preview / brochure / enrollment","generated/05-applied-ml-engineer-program.png"
"6","Full Stack Program","Program","/public-preview/6","public","implemented","Preview / brochure / enrollment","generated/06-full-stack-program.png"
"7","Video Lesson Experience","Learner","/course-experience/video?preview=1","learner","implemented","Next lesson / resources / progress","generated/07-video-lesson-experience.png"
"8","Practice / Quiz Experience","Learner","/learning-studio/practice?preview=1","learner","implemented","Submit / next / result","generated/08-practice-quiz-experience.png"
"9","Entrepreneurship Landing","Venture","/entrepreneurship","public","implemented","Idea submission / apply","generated/09-entrepreneurship-landing.png"
"10","Idea Submission & Intake","Venture","/venture-builder/experience/intake?preview=1","public","implemented","Save draft / continue / submit","generated/10-idea-submission-intake.png"
"11","FDE Leadership Program","Program","/public-preview/11","public","implemented","Brochure / webinar / apply","generated/11-fde-leadership-program.png"
"12","Space Tech Program","Program","/public-preview/12","public","implemented","Brochure / apply","generated/12-space-tech-program.png"
"13","Data Analytics Program","Program","/public-preview/13","public","implemented","Preview / enrollment","generated/13-data-analytics-program.png"
"14","Cybersecurity Program","Program","/public-preview/14","public","implemented","Enrollment","generated/14-cybersecurity-program.png"
"15","Free Course Access State","Commercial","/public-preview/15","public","implemented","Start free course","generated/15-free-course-access-state.png"
"16","Freemium Preview State","Commercial","/public-preview/16","public","implemented","Unlock / upgrade","generated/16-freemium-preview-state.png"
"17","Paid Course Pricing State","Commercial","/public-preview/17","public","implemented","Buy / offer","generated/17-paid-course-pricing-state.png"
"18","Learner Dashboard","Learner","/experience-preview/18","public","implemented","Continue learning / certificates","generated/18-learner-dashboard.png"
"19","Course Progress Dashboard","Learner","/experience-preview/19","public","implemented","Course / lesson / exam detail","generated/19-course-progress-dashboard.png"
"20","Lesson Resources / Comments / Notes","Learner","/experience-preview/20","public","implemented","Resource / post / next","generated/20-lesson-resources-comments-notes.png"
